9,-0.5,-0.5
9,4.87,-0.5
9,4.87,2.8
9,-0.5,2.8
10,4.87,-0.5
10,11.37,-0.5
10,11.37,2.8
10,4.87,2.8
13,11.37,-0.5
13,17.37,-0.5
13,17.37,2.8
13,11.37,2.8
12,17.37,-0.5
12,23.37,-0.5
12,23.37,2.8
12,17.37,2.8
11,23.37,-0.5
11,28,-0.5
11,28,2.8
11,23.37,2.8
21,23.37,2.8
21,28,2.8
21,28,7.05
21,23.37,7.05
24,17.37,2.8
24,23.37,2.8
24,23.37,7.05
24,17.37,7.05
27,11.37,2.8
27,17.37,2.8
27,17.37,7.05
27,11.37,7.05
18,4.87,2.8
18,11.37,2.8
18,11.37,7.05
18,4.87,7.05
16,-0.5,2.8
16,4.87,2.8
16,4.87,7
16,-0.5,7
19,5.6,7.05
19,11.37,7.05
19,11.37,11.45
19,5.6,11.45
28,11.37,7.05
28,17.37,7.05
28,17.37,11.45
28,11.37,11.45
26,17.37,7.05
26,23.37,7.05
26,23.37,11.45
26,17.37,11.45
23,23.37,7.05
23,29.4,7.05
23,29.4,11.45
23,23.37,11.45
15,29.4,7.15
15,33.6,7.15
15,33.6,11.45
15,29.4,11.45
